Price,Size,Garage,Mutiple Car,Bed Rooms,Central Air,Fireplace,Full Bath,Half Bath,Basement (Total),Finished Bsmt,Bsmt Bath,Land,Style (2 Story),Zone (Town Center)
141900,1762,1,1,3,1,0,1,1,596,0,1,7200,1,0
124000,2104,1,1,3,0,0,2,0,1226,0,0,6300,1,0
109900,1040,1,1,2,0,0,1,0,528,276,0,6240,0,1
105000,1220,1,0,4,0,0,1,0,756,0,0,6120,0,1
84900,1177,1,0,2,0,0,1,1,649,649,0,7218,0,1
200000,2234,1,1,4,1,2,1,1,912,657,1,12975,1,0
144000,1302,1,0,2,1,2,1,1,680,258,0,6960,0,0
93000,1273,1,0,3,0,0,1,0,616,0,0,11388,0,0
111000,1609,1,0,3,0,0,1,0,796,0,0,4347,0,1
104500,1258,1,0,2,0,0,1,0,884,0,0,6120,0,1
78000,1245,1,0,3,0,0,1,0,629,0,0,10894,1,0
124500,1248,1,0,3,1,1,1,0,624,389,1,7000,1,1
135000,1863,1,1,3,1,2,2,0,1139,1139,1,6240,0,1
184000,1880,1,0,3,1,2,2,1,716,528,0,9860,1,0
117000,1157,1,0,3,1,1,2,0,767,0,0,9400,0,0
68500,680,1,1,1,0,0,1,0,480,0,0,14840,0,0
108000,1164,1,0,4,1,1,1,0,810,0,0,6000,0,1
104000,1500,0,0,3,1,0,1,0,986,0,0,16200,0,0
234000,1954,1,1,3,1,2,1,1,798,341,1,15660,0,0
151000,2182,1,1,2,1,1,3,0,768,0,0,10485,0,0
89000,1478,0,0,4,0,0,1,1,641,0,0,3900,1,0
165400,1938,1,0,4,1,1,2,0,942,606,0,11700,0,0
184000,1750,1,0,4,1,1,1,1,875,0,0,12393,1,0
124000,1510,1,0,3,1,0,1,0,755,304,0,4899,1,0
170000,1560,1,0,3,1,2,1,1,783,293,0,10150,0,0
112900,1196,1,0,3,1,0,1,0,684,0,0,12354,0,0
112000,1367,1,0,4,1,0,1,0,861,731,1,8405,0,0
97500,1352,1,0,3,0,1,1,0,676,0,0,9781,1,1
116500,1502,1,0,3,1,1,1,0,686,0,0,5350,0,0
114000,1668,1,0,4,0,0,1,0,684,464,0,4500,1,0
179900,1834,1,1,3,1,0,2,0,878,399,0,10440,1,1
74900,906,1,0,2,1,0,1,0,348,120,0,4882,1,0
184000,1517,1,1,3,1,2,1,0,792,0,0,11435,1,0
142800,1642,1,0,3,1,0,2,0,672,0,0,7200,1,1
130000,1595,1,1,3,1,1,1,1,745,340,0,12445,1,0
150000,2085,1,1,4,1,1,2,0,808,0,0,7375,1,1
97000,865,1,0,2,1,1,1,0,660,422,1,10042,0,0
220000,1512,1,0,3,1,1,2,0,798,405,1,7609,1,0
145000,2227,1,1,5,1,1,2,0,814,416,0,8400,1,0
121000,1274,1,0,2,1,0,2,0,728,306,0,6125,0,1
110000,1250,1,1,4,1,1,1,1,661,0,0,5362,0,0
148000,1574,1,1,3,1,2,1,1,692,394,0,10200,1,0
128000,1489,1,0,3,1,2,2,0,613,392,0,12180,0,0
103500,1426,0,0,3,1,0,1,1,861,0,0,10320,0,1
126500,1518,1,1,3,1,0,2,0,945,0,0,6600,0,1
97500,1233,1,0,4,1,0,1,0,869,0,1,5900,0,1
118000,1480,1,0,3,0,1,2,0,800,348,0,9290,0,0
77000,720,1,0,1,0,0,1,0,448,0,0,7008,0,0
115000,1412,1,0,4,1,1,1,0,780,0,0,6000,0,1
115000,1150,1,1,3,1,0,1,1,715,0,0,10400,0,1
119000,1344,1,0,3,1,0,1,0,672,0,0,12816,1,1
114000,1290,1,0,2,0,1,1,0,780,0,0,12960,0,1
232000,2038,1,1,3,1,2,2,1,764,695,1,17919,1,0
124000,1456,1,1,4,1,0,2,0,869,0,0,5820,0,1
86400,1123,1,0,3,1,0,1,0,732,0,0,6060,0,1
126000,1356,1,1,3,1,2,2,0,808,381,0,8400,0,0
104850,1030,1,0,2,1,0,1,0,560,230,0,5544,0,0
104500,1305,1,0,2,0,0,1,0,920,0,0,9350,0,0
104000,1224,1,0,3,1,0,1,0,936,0,0,4710,0,0
73950,1360,1,0,2,0,0,1,0,680,0,0,4800,1,1
95000,1440,0,0,3,0,0,1,1,480,0,0,8819,1,0
